tic,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age,ref,teff,rstar,mstar
415556221,3.290872562889409e+18,77.3318567749039,9.82958235272532,18.7979,5.2289,5.67,0.023,5.4318,0.023,4.965,0.026,4.929,0.023,4.861,0.023,5.39206,0.00233858,5.50912,0.001732,5.1862,0.003916,4.931,0.203,4.731,0.109,4.939,0.013,4.887,0.029,Hyades,650.0,GaiaDR2_2018,7860.0,2.08923,1.87
408165734,3.290627818473482e+18,78.6096112093045,9.49626503425768,3.82993,9.2292,9.545,0.046,9.353,0.004,9.005,0.019,8.983,0.029,8.935,0.024,9.34078,0.000457,9.43873,0.001059,9.19755,0.001958,8.899,0.023,8.918,0.02,8.781,0.028,7.853,0.244,Theia30,16.595869074375596,Kounkel2020,8194.0,1.60885,2.01
408134611,3.3870317567500165e+18,78.3470889414187,10.7490692601615,3.59842,9.11448,9.385,0.04,9.215,0.003,8.896,0.032,8.869,0.028,8.836,0.025,9.20863,0.000396,9.2949,0.001302,9.07738,0.002185,8.8,0.024,8.829,0.019,8.664,0.032,8.726,0.421,Theia30,16.595869074375596,Kounkel2020,8522.0,1.76755,2.122
450110167,3.288220128527128e+18,74.650586763943,6.4223361967979,2.75457,9.1078,9.153,0.038,9.097,0.004,9.02,0.021,9.036,0.032,9.041,0.022,9.09995,0.000257,9.12238,0.000675,9.07559,0.000823,9.01,0.022,9.037,0.02,9.004,0.037,8.435,,Theia138,45.70881896148752,Kounkel2020,9689.0,1.98156,2.47
415512781,3.240253899405679e+18,76.0864259170653,6.53377645992773,2.57472,9.63764,9.784,0.053,9.677,0.005,9.439,0.019,9.449,0.028,9.442,0.02,9.67605,0.000536,9.72785,0.001076,9.60084,0.001441,9.435,0.024,9.46,0.02,9.453,0.038,8.421,,Theia138,45.70881896148752,Kounkel2020,9234.0,1.78104,2.341
450050436,3.291932870055578e+18,75.1448719031028,10.8137769237717,2.30561,11.1385,12.144,0.269,11.544,0.018,10.656,0.023,10.496,0.031,10.45,0.022,11.457,0.001061,11.6959,0.002302,11.08,0.001593,10.382,0.023,10.387,0.021,10.221,0.082,7.986,,Theia138,45.70881896148752,Kounkel2020,7253.5,1.40296,1.63
415441819,3.29043313619498e+18,75.7586999026923,9.38242231717504,1.99395,7.5796,7.543,0.026,7.56,0.03,7.531,0.03,7.57,0.036,7.543,0.026,7.52772,0.000682,7.53311,0.00196,7.53646,0.002145,7.567,0.032,7.623,0.019,7.647,0.021,7.133,0.11,Theia138,45.70881896148752,Kounkel2020,12170.0,,
450052119,3.291865043932063e+18,75.2912961909648,10.5456720513826,2.50354,9.7844,10.02,0.059,9.946,0.005,9.56,0.022,9.53,0.028,9.481,0.022,9.83867,0.000762,9.90252,0.002159,9.73553,0.001047,9.455,0.023,9.465,0.02,9.419,0.04,8.509,,Theia138,45.70881896148752,Kounkel2020,9558.0,1.7467,2.43
373448902,3.289915674240044e+18,76.3338326055691,7.56249239361936,2.38538,7.6468,,,7.59,0.03,7.696,0.032,7.727,0.04,7.734,0.018,7.55454,0.000526,7.53871,0.00197,7.60228,0.005216,7.755,0.027,7.804,0.021,7.783,0.019,6.884,0.098,Theia138,45.70881896148752,Kounkel2020,14167.0,,
373448673,3.241844922794149e+18,76.3181514435618,7.25099429315096,2.52203,10.7234,11.441,0.182,11.177,0.014,10.337,0.027,10.113,0.03,10.081,0.018,11.0103,0.001399,11.2264,0.002545,10.6723,0.001621,10.049,0.023,10.06,0.021,10.019,0.058,8.821,0.524,Theia138,45.70881896148752,Kounkel2020,7122.0,1.55093,1.58
373451309,3.2917836800716124e+18,76.346349686424,10.6873083909278,1.6792,11.6152,12.372,0.436,12.045,0.031,11.179,0.027,11.013,0.033,10.914,0.019,11.8928,0.000495,12.0916,0.001764,11.5492,0.001428,10.89,0.023,10.89,0.021,10.643,0.094,8.828,,Theia138,45.70881896148752,Kounkel2020,7361.0,1.5152,1.67
450050496,3.291959979888989e+18,75.1775938664858,10.9134199571175,8.45368,6.78562,6.844,0.024,6.79685,0.023,6.666,0.024,6.785,0.067,6.701,0.02,6.78026,0.000458,6.8176,0.001683,6.7668,0.002238,6.692,0.073,6.673,0.023,6.732,0.016,6.817,0.09,Theia594,125.8925411794166,Kounkel2020,9651.0,1.90138,2.46
445931740,3.290498076101369e+18,77.6355069896426,8.96937140149983,2.30602,9.7799,10.355,0.071,10.167,0.006,9.425,0.023,9.295,0.029,9.287,0.021,9.98405,0.00128,10.1494,0.001325,9.73799,0.001689,9.245,0.023,9.254,0.021,9.241,0.044,8.454,0.37,Theia818,223.8721138568337,Kounkel2020,7817.0,2.33489,1.86
399833318,3.2945922107259986e+18,74.2153818043207,11.0034305747083,2.31665,9.31794,10.284,0.058,9.85,0.004,8.686,0.023,8.548,0.047,8.479,0.024,9.67292,0.00022,9.95487,0.000485,9.2552,0.000492,8.415,0.022,8.423,0.021,8.424,0.024,8.281,0.284,Theia1018,478.630092322638,Kounkel2020,7481.0,3.55311,1.72
399813649,3.294565478849706e+18,74.0662768648418,10.6972275719908,0.715216,12.9483,14.179,0.013,13.598,0.149,12.253,0.022,12.044,0.031,11.933,0.025,13.3937,0.000208,13.7413,0.001222,12.8792,0.000797,11.877,0.024,11.881,0.022,12.315,0.496,8.6,,Theia6283,954.992586021437,Kounkel2020,7153.83,2.21645,1.6
415477794,3.290333011917533e+18,75.839922213751,8.82551963167087,0.84815,12.1428,12.296,0.397,11.844,0.028,11.888,0.022,11.885,0.031,11.844,0.023,12.2166,0.000414,12.2722,0.002852,12.0803,0.00254,11.82,0.023,11.832,0.021,12.229,0.458,8.713,,Theia6283,954.992586021437,Kounkel2020,9030.0,1.7558,2.28
