tic,age,prad,Mp,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2
115831441,38.904514499428046,11.397233919142357,9.890656440341202,23.22735757787645,4.093831881586796e+18,272.996182304932,-21.3203685273606,0.658688,14.787,16.677,0.438,15.825,0.24,13.784,0.044,13.411,0.047,13.325,0.052,15.4527,0.000561,16.0068,0.004893,14.7175,0.001496,,,,,,,,,Theia1908,38.904514499428046,Kounkel2020,6309.0,1.55024,1.24,[6],1,,,,,,,,,0,,0,,0
163736057,562.3413251903492,2.0711271442578054,4.387110215362055,86.81429062840664,4.2531879844640287e+18,280.977627568441,-6.3690897049017,0.625189,14.5793,14.974,0.12,15.367,0.081,13.695,0.06,13.339,0.058,13.286,0.071,15.1602,0.000683,15.6086,0.004848,14.4898,0.003692,,,,,,,,,Theia5212,562.3413251903492,Kounkel2020,5880.0,1.62067,1.07,[8],1,,,,,,,,,0,,0,,0
202014943,141.25375446227554,11.999824676452011,4.667320608525942,4.879282933039858,3.134051658965069e+18,101.292181569267,7.94080871801892,0.438043,15.8102,17.634,0.075,16.7061,0.046,14.819,0.04,14.486,0.042,14.306,0.078,16.4311,0.000794,16.9486,0.005855,15.7492,0.004428,14.466,0.034,14.451,0.063,11.909,,8.802,,Theia2812,141.25375446227554,Kounkel2020,5596.0,1.39196,0.99,[11],1,,,,,,,,,0,,0,,0
432897991,389.04514499428046,1.3990657895351652,3.1911498460418426,64.56320178409254,4.104762509006393e+18,277.98606822437,-13.5251522332022,0.311682,15.2506,17.051,0.125,16.246,1.133,14.14,0.06,13.754,0.068,13.534,0.071,15.9961,0.000846,16.6101,0.007332,15.1644,0.00446,,,,,,,,,Theia4444,389.04514499428046,Kounkel2020,5786.0,2.92164,1.04,"[1, 14]",2,,,,,,,,,0,,0,,0
357278122,371.5352290971728,11.490181363773754,1.057540137794588,33.53708723527116,2.019046022593952e+18,290.253044915461,21.8251091570695,1.34648,14.0361,16.958,0.167,15.467,0.092,12.767,0.021,12.322,0.022,12.123,0.021,14.9355,0.00031,15.7742,0.003698,14.0232,0.000719,12.05,0.026,12.08,0.026,11.867,0.295,9.056,,Theia978,371.5352290971728,Kounkel2020,5807.0,1.56886,1.04,[7],1,,,,,,,,,0,,0,,0
119629011,34.673685045253166,4.019994214959681,20.211208059017977,6.652514116735462,3.098568833891098e+18,100.79725101201,-8.93461784563557,2.41228,11.3435,12.382,0.417,11.672,0.029,10.816,0.024,10.615,0.023,10.522,0.019,11.6911,0.000264,11.9433,0.001445,11.2814,0.001256,10.478,0.023,10.494,0.02,10.315,0.076,8.642,,Theia118,34.673685045253166,Kounkel2020,6576.0,1.33559,1.367,[13],1,,,,,,,,,0,,0,,0
396996877,173.78008287493762,4.846571875892492,2.6303676384416304,71.59714506506677,4.320206589764156e+18,287.97264841572,14.1467804863667,0.83563,15.1245,18.046,0.061,16.5296,0.046,13.936,0.023,13.388,0.021,13.286,0.035,15.9984,0.000657,16.8106,0.004409,15.1082,0.002127,,,,,,,,,Theia952,173.78008287493762,Kounkel2020,5531.0,1.49979,0.97,[9],1,,,,,,,,,0,,0,,0
151455953,309.0295432513592,3.376768967644045,9.71133474989561,18.45345489205054,4.252504504947938e+18,282.801384823087,-6.24544417886432,0.504168,14.3947,,,15.33,0.081,13.62,0.082,13.406,0.086,13.3,0.085,14.9106,0.000641,15.3111,0.003795,14.3191,0.001732,,,,,,,,,NGC_6705,309.0295432513592,Cantat-Gaudin2020,6305.0,1.95583,1.24,[8],1,,,,,,,,,0,,0,,0
105608466,154.88166189124794,2.078561608722221,5.67778297633841,44.60462221930777,4.119383775901106e+18,269.231647847909,-18.945093338579,1.28316,15.7392,18.787,0.164,16.741,1.133,14.395,0.036,13.782,0.057,13.569,0.048,16.5792,0.001808,17.3252,0.015408,15.6575,0.005239,,,,,,,,,Theia653,154.88166189124794,Kounkel2020,4672.0,0.786502,0.74,[6],1,,,,,,,,,0,,0,,0
220154736,4265.795188015934,1.1227194293302882,1.3822583289034087,41.39404942065456,3.3267858768299305e+18,99.1690725646584,9.47382572514188,0.171373,15.7181,16.72,0.073,16.463,1.133,14.571,0.036,14.105,0.033,13.93,0.056,16.4473,0.000956,17.016,0.013904,15.6009,0.004699,13.729,0.034,13.875,0.065,11.084,,8.718,,Trumpler_5,4265.795188015934,Cantat-Gaudin2020,6278.0,3.30632,1.23,[11],1,,,,,,,,,0,,0,,0
220131598,64.56542290346549,1.0303986135159953,1.0157541077999186,12.136521993481107,3.328067117115404e+18,99.0269000796217,11.435775564959,1.12746,12.4802,13.729,0.106,12.989,0.126,11.853,0.022,11.66,0.026,11.625,0.024,12.8942,0.000517,13.2205,0.001617,12.4223,0.001226,11.527,0.023,11.535,0.023,11.201,,8.617,,Theia2133,64.56542290346549,Kounkel2020,6795.0,1.83733,1.46,[11],1,,,,,,,,,0,,0,,0
215952435,812.8305161640994,0.963209278964897,0.8024915364739162,4.341443460556512,2.020420171614972e+18,295.262828867769,24.4028443206263,0.908135,16.0809,19.779,0.166,17.8232,0.0465,14.671,0.03,14.18,0.038,14.02,0.06,17.097,0.000637,18.0776,0.010273,16.0747,0.002465,,,,,,,,,Theia5968,812.8305161640994,Kounkel2020,4899.0,1.18046,0.8,[15],1,,,,,,,,,0,,0,,0
124195642,117.48975549395304,9.907698828860044,18.5556217812252,13.86931310697146,3.1007330550334474e+18,103.962994927931,-7.06571847292733,0.330165,16.3475,17.01,0.124,17.1958,0.046,15.51,0.064,15.08,0.108,14.811,0.134,16.9417,0.000847,17.4344,0.008628,16.2855,0.003115,14.773,0.034,14.713,0.058,12.491,,9.124,,NGC_2309,117.48975549395304,Cantat-Gaudin2020,6413.0,1.29492,1.29,[13],1,,,,,,,,,0,,0,,0
36548623,36.3078054770101,1.3352506731334717,2.656175161294525,41.25162505126848,3.1003749921979674e+18,102.368808713969,-5.77110612589974,0.573356,14.2748,15.365,0.022,14.876,0.137,13.619,0.027,13.392,0.03,13.314,0.038,14.6923,0.000429,15.0067,0.002417,14.2073,0.001532,13.236,0.024,13.305,0.031,12.508,,8.482,,Theia1885,36.3078054770101,Kounkel2020,6511.0,1.55573,1.34,[13],1,,,,,,,,,0,,0,,0
401817145,245.47089156850336,2.606606583075681,2.426168506305362,15.988589399285788,4.3209694790448927e+18,289.61598936143,15.7212671926719,0.611123,15.3058,18.98,0.166,16.62,0.275,13.862,0.029,13.284,0.033,13.117,0.036,16.2073,0.000808,16.9343,0.007086,15.1713,0.009262,,,,,,,,,Theia3624,245.47089156850336,Kounkel2020,5219.0,2.00906,0.89,[9],1,,,,,,,,,0,,0,,0
281912159,165.9586907437563,4.191512650231091,5.8046386689698855,9.627948167449125,3.1018579585063404e+18,102.709904990998,-5.8199336451725,0.973775,13.2559,14.088,0.107,13.646,0.183,12.722,0.023,12.507,0.023,12.438,0.021,13.598,0.000442,13.8385,0.002532,13.1862,0.002207,,,,,,,,,Theia194,165.9586907437563,Kounkel2020,6646.0,1.34507,1.4,[13],1,,,,,,,,,0,,0,,0
225522558,32.35936569296281,3.126704147419337,36.69464787644839,35.95999209156687,4.258708430489332e+18,281.274975907257,-2.61797919446633,0.853595,14.0769,16.928,0.167,15.683,0.195,12.739,0.026,12.29,0.027,12.135,0.03,15.0306,0.000428,15.9368,0.004453,14.078,0.002568,,,,,,,,,Theia1841,32.35936569296281,Kounkel2020,5994.0,2.5657,1.1,[0],1,,,,,,,,,0,,0,,0
432429590,416.8693834703346,0.9204715349330258,0.68684143017976,15.511725467873074,4.1039423420601047e+18,277.354229687786,-15.2884263649695,0.57318,15.6548,,,16.6177,0.0462,14.663,0.028,14.327,0.051,14.413,0.08,16.3118,0.000824,16.8698,0.010639,15.5993,0.004929,,,,,,,,,Theia4574,416.8693834703346,Kounkel2020,5659.0,1.22596,1.0,[1],1,,,,,,,,,0,,0,,0
340981826,72.44359600749905,3.0309633338374904,6.595776265531419,50.713435620792815,3.3243930646514284e+18,97.6447090994352,7.073379496456,2.02116,11.9608,13.166,0.014,12.387,0.08,11.379,0.026,11.08,0.026,11.015,0.023,12.394,0.000478,12.7358,0.00186,11.9099,0.001697,10.965,0.023,11.001,0.023,11.107,0.25,8.741,,Theia189,72.44359600749905,Kounkel2020,6031.0,1.38057,1.12,[11],1,,,,,,,,,0,,0,,0
116832955,97.72372209558112,3.4210045645187224,2.2596324886688333,25.085127496699368,4.09383566549362e+18,273.141369346938,-21.2484405558104,0.549617,15.5974,18.673,0.164,16.9137,0.0461,14.378,0.036,13.934,0.042,14.13,,16.4298,0.000848,17.1682,0.007377,15.5471,0.003014,,,,,,,,,Theia2428,97.72372209558112,Kounkel2020,5445.0,1.72837,0.95,[6],1,,,,,,,,,0,,0,,0
50722326,12.84019294334696,2.920244853797185,21.920089670018275,13.355010613607064,3.2172027068485407e+18,82.71729,-1.78835,2.37219,15.6667,19.96,0.162,,,13.881,0.026,13.172,0.022,12.956,0.029,17.0085,0.00277,18.6002,0.034577,15.7495,0.007576,12.823,0.025,12.628,0.026,11.823,,9.022,,OSFC,10.0,roquette25,3254.0,0.639041,0.618846,[3],1,,,,,,,,,0,,0,,0
223244174,154.88166189124794,1.1775612617504678,1.647331827572097,10.4762724671434,4.11933797437106e+18,268.67064270304,-19.5357501834345,1.88558,14.6202,17.045,-0.147,15.941,0.355,13.446,0.064,12.844,0.106,12.72,0.079,15.4077,0.000576,16.1268,0.004343,14.5673,0.002521,,,,,,,,,Theia653,154.88166189124794,Kounkel2020,4725.0,0.825465,0.757,[6],1,,,,,,,,,0,,0,,0
146023022,1445.439770745928,1.2132529827465717,1.84153056619028,38.39830372587348,4.106974344075167e+18,281.92736075222,-10.560229700645,0.504004,15.7726,17.988,0.116,16.6906,0.0463,14.857,0.043,14.476,0.046,14.505,0.077,16.4052,0.001019,16.9543,0.006185,15.7304,0.013666,,,,,,,,,Theia7097,1445.439770745928,Kounkel2020,5487.0,1.3065,0.96,[8],1,,,,,,,,,0,,0,,0
433969298,549.5408738576248,1.9247152935571847,12.331152618005635,14.189414659588191,4.0999255511653207e+18,279.438373510895,-16.2040836634966,1.02299,15.5606,16.936,0.119,16.7903,0.0462,14.111,0.046,13.1,,12.968,,16.351,0.001372,17.0333,0.006542,15.4926,0.007788,,,,,,,,,Theia5153,549.5408738576248,Kounkel2020,5290.0,0.918223,0.91,[1],1,,,,,,,,,0,,0,,0
371530158,501.1872336272715,3.011268858685382,33.35751295767623,14.6461482612377,2.0176780239888568e+18,292.886701328901,20.2955129844922,0.483519,15.4389,18.105,0.087,16.766,1.133,14.257,0.063,13.809,0.047,13.731,0.06,16.2839,0.000646,17.0503,0.005208,15.4071,0.002551,,,,,,,,,Theia4936,501.1872336272715,Kounkel2020,5740.0,2.06387,1.03,[15],1,,,,,,,,,0,,0,,0
284199204,776.2471166286928,22.913211332754777,2.107418349941665,6.980192012615612,3.339531548759348e+18,84.3547357806097,10.3785197561673,0.495675,14.2438,15.125,0.068,14.745,0.057,13.533,0.029,13.366,0.023,13.219,0.035,14.6622,0.000443,14.978,0.001725,14.1707,0.002005,13.208,0.025,13.293,0.033,12.317,,8.936,,Theia5834,776.2471166286928,Kounkel2020,6813.0,1.79973,1.47,[12],1,6.980192012615612,22.913211332754777,0.01356417510679066,0.022848840876946802,0.019995631624818395,183.840502022882,6.446814058792292,0.006537376078900703,1,31.033298865026175,1,,0
164607482,114.8153621496884,2.538584396620326,18.94758453199832,24.30167771519163,4.25332216363625e+18,281.332563400376,-5.91135357572423,0.390946,14.6928,14.944,0.12,15.56,0.069,13.85,0.065,13.608,0.05,13.575,0.051,15.2587,0.000514,15.7071,0.006386,14.6157,0.002901,12.899,0.16,13.489,0.197,11.449,,8.384,,Theia2598,114.8153621496884,Kounkel2020,6329.0,2.30046,1.25,[0],1,,,,,,,,,0,,0,,0
432505574,109.64781961431828,5.54810110900466,2.631699322218391,7.304604987045321,4.152930979493908e+18,277.539346299911,-12.6227722323406,0.521274,15.8271,18.107,0.118,16.8278,0.0463,14.862,0.051,14.347,0.119,13.332,,16.503,0.000998,17.0676,0.009766,15.7554,0.009236,,,,,,,,,Theia2555,109.64781961431828,Kounkel2020,6492.0,1.22568,1.33,"[1, 14]",2,,,,,,,,,0,,0,,0
177522884,34.673685045253166,1.1048310003126625,1.3038543157767188,49.90091987015931,3.048188425133573e+18,107.028793194579,-9.51321242767641,1.71845,13.5354,15.013,0.071,14.145,0.08,12.789,0.021,12.419,0.021,12.368,0.026,14.0389,0.001212,14.4458,0.003911,13.4798,0.003363,12.384,0.023,12.455,0.022,11.976,,9.048,,Theia118,34.673685045253166,Kounkel2020,5645.0,0.892002,1.0,[5],1,,,,,,,,,0,,0,,0
104707205,154.88166189124794,2.2107859179036677,3.677065873619621,22.62376448480764,4.119373158743913e+18,269.025507697974,-19.214123109817,1.34948,14.213,16.885,0.043,15.401,0.263,13.163,0.024,12.732,0.027,12.644,0.027,14.9069,0.000689,15.5082,0.003078,14.1612,0.004898,,,,,,,,,Theia653,154.88166189124794,Kounkel2020,5394.0,1.11506,0.94,[6],1,,,,,,,,,0,,0,,0
391180551,1288.2495516931322,1.17149725840109,1.6160976735060195,3.6830649504841055,1.827373520656226e+18,297.218944295163,21.2042556494214,-0.0349617,16.7419,17.863,0.149,17.9017,0.0468,15.462,0.132,14.457,,14.2,,17.4979,0.001081,18.1345,0.01695,16.661,0.007049,,,,,,,,,NGC_6827,1288.2495516931322,Cantat-Gaudin2020,6625.0,3.02756,1.39,[15],1,3.6830649504841055,1.17149725840109,1.2529484813239238e-05,0.07692095217574157,0.10684434678564518,166.75906548886536,12.218084830158956,0.983815959358833,0,0.009059714375713854,0,,0
32881144,107.15193052376048,2.507180121448235,4.0999149549646,63.35746726726771,4.203129560860529e+18,283.26115643753,-10.1018851520295,1.09545,15.8689,16.488,0.059,17.2122,0.0467,14.525,0.047,13.861,0.036,13.715,0.055,16.6989,0.002217,17.4317,0.012301,15.7596,0.008006,,,,,,,,,Theia291,107.15193052376048,Kounkel2020,4441.0,0.871984,0.7,[8],1,,,,,,,,,0,,0,,0
