tic,age,prad,Mp,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2,snr_v3,T_retrieve_v3
11292103,6.396439390209395,6.2353275189006725,1.882430895547148,42.1872714231048,3.215733377059626e+18,84.813959,-3.898999,2.7029,14.9603,,,17.4815,0.0562,13.273,0.03,12.622,0.024,12.39,0.024,16.2352,0.006671,17.6712,0.029391,15.0274,0.017896,12.303,0.023,12.141,0.024,10.873,0.149,8.278,,OSFC,10.0,roquette25,3357.0,0.69431,0.659439,[0],1,,,,,,,,,0,,0,,0,,0
79541376,25.118864315095824,2.7000309705679006,3.3856701374047486,19.25371187275976,2.931885177525271e+18,104.428012452125,-21.5287102361949,1.20648,15.4114,18.615,0.162,17.0597,0.0463,14.024,0.024,13.328,0.027,13.093,0.027,16.3436,0.000988,17.3395,0.008786,15.351,0.00281,13.132,0.025,13.114,0.03,12.722,,9.062,,Theia86,25.118864315095824,Kounkel2020,3941.0,1.17333,0.61,[14],1,,,,,,,,,0,,0,,0,,0
397651022,51.28613839913648,2.8337084381034323,46.71938902447776,99.36268319992418,4.320084887572348e+18,288.250762568857,13.4341453904462,0.389747,15.7186,18.554,0.169,17.2261,0.0461,14.389,0.033,13.907,0.043,13.726,0.062,16.6385,0.000786,17.4763,0.007305,15.6819,0.002301,,,,,,,,,Theia2011,51.28613839913648,Kounkel2020,6342.0,2.3943,1.26,[9],1,,,,,,,,,0,,0,,0,,0
91602691,147.9108388168207,3.209517916955529,5.828601221891407,12.213580871806874,3.350081401483162e+18,88.53772112288,17.6657791862816,0.712193,14.3822,15.855,0.099,15.008,0.126,13.498,0.023,13.104,0.026,13.01,0.029,14.9258,0.000973,15.3179,0.004248,14.2728,0.006914,12.902,0.025,12.945,0.029,12.207,,8.571,,Theia2862,147.9108388168207,Kounkel2020,6080.0,1.46436,1.14,[16],1,,,,,,,,,0,,0,,0,,0
117857539,331.1311214825908,3.226840813983687,35.80817120240704,4.967928267852105,4.0907892624153774e+18,273.505870127165,-21.7859963377965,0.715628,14.9444,17.38,0.058,16.173,0.115,13.693,0.045,13.17,0.065,12.942,0.054,15.7168,0.000698,16.3895,0.0047,14.8856,0.004318,12.202,0.058,12.581,0.09,11.424,,7.838,,Theia4143,331.1311214825908,Kounkel2020,5338.0,1.6693,0.92,[11],1,,,,,,,,,0,,0,,0,,0
237532798,114.8153621496884,2.5119808502174514,1.2085343571368032,17.595068378130534,3.1135757244985795e+18,102.986452787244,0.429707465067354,1.14661,15.175,13.846,0.078,15.588,0.218,14.202,0.063,13.695,0.06,13.47,0.055,15.7896,0.002358,16.2998,0.009397,15.0994,0.006279,,,,,,,,,Theia294,114.8153621496884,Kounkel2020,5020.0,0.78119,0.83,[25],1,,,,,,,,,0,,0,,0,,0
145350676,134.8962882591656,7.492692163674151,1.4657013931795655,9.445910565264256,4.10693799584956e+18,281.572930938416,-10.908977127357,1.51486,13.9812,17.024,0.1,15.017,0.137,13.058,0.02,12.584,0.022,12.514,0.02,14.6542,0.000877,15.2352,0.004813,13.9305,0.004035,12.245,0.034,12.191,0.04,10.92,0.122,7.887,0.183,Theia459,134.8962882591656,Kounkel2020,5443.0,1.06954,0.95,[19],1,,,,,,,,,0,,0,,0,,0
193179463,47.863009232263806,1.5032931192433958,4.261230093586605,6.978996891254553,5.972855510692851e+18,259.798337759933,-37.8568816430319,0.664689,13.9985,15.447,0.088,14.878,0.15,12.964,0.047,12.373,,12.013,,14.5262,0.0004,14.9507,0.001875,13.9277,0.000961,,,,,,,,,Theia1973,47.863009232263806,Kounkel2020,6762.0,1.79266,1.45,[22],1,,,,,,,,,0,,0,,0,,0
32670578,22.387211385683376,2.096303623162901,7.854506681745355,94.59851133417672,3.101204986036088e+18,104.236678200661,-5.44826529991133,3.66682,15.2722,19.008,0.17,,,13.624,0.056,12.927,0.058,12.653,0.042,16.6044,0.002655,18.2223,0.022256,15.3564,0.005958,12.569,0.028,12.418,0.028,11.549,0.237,8.483,,Theia55,22.387211385683376,Kounkel2020,3247.0,0.525605,0.522784,[27],1,,,,,,,,,0,,0,,0,,0
72306732,323.5936569296281,1.991500870039731,5.344100246892268,45.15327667847526,3.0059195560229724e+18,92.7386557986504,-8.33348095942555,4.46051,16.8307,,,,,14.957,0.042,14.326,0.048,14.051,0.065,18.3159,0.002212,19.929,0.133473,16.9248,0.012028,13.544,0.025,13.291,0.028,11.976,,8.914,,Theia791,323.5936569296281,Kounkel2020,3181.0,0.276622,0.250186,[17],1,,,,,,,,,0,,0,,0,,0
