tic,rp,period,mstar,rstar,tmag,teff,age
332596891,50.197129611099975,10.554423170696014,1.05,3.00525,15.3998,5828.0,14.45439770745928
185632556,35.7720745508808,4.944404897125875,1.07,1.81291,12.9739,5885.0,6.606934480075965
138856521,8.885888467976816,14.100269168610524,0.432482,0.436953,16.4729,3112.0,4.897788193684466
144697462,14.99795976237608,1.875941199536966,0.519641,0.522283,16.4614,3661.0,4.897788193684466
427450857,24.293343930116777,3.9595624667554303,1.24,1.50344,11.3913,6300.01,4.897788193684466
146291440,26.229898462837884,8.486396509421372,0.77,0.885556,14.867,4786.0,5.754399373371567
359887622,30.2304776125009,8.91636044942305,0.66,1.2946,13.7679,4224.0,7.585775750291836
220214732,53.38749177750724,7.400565129910194,0.65,0.628035,15.7393,4170.0,2.5118864315095824
220291135,33.91987620950614,4.156774666831618,1.47,1.2096,15.2393,6819.0,2.5118864315095824
231147375,17.347707382261667,8.331888672791319,0.434944,0.43922,16.3721,3589.0,2.5118864315095824
61168282,12.326503227496858,3.4966409189698937,0.82,1.43891,14.3692,4980.0,11.748975549395302
119557754,18.124176544077283,2.8182447912287296,1.145,1.08703,13.1067,6096.0,11.748975549395302
178166376,9.051060598860673,2.4558466686160965,0.75,1.07759,14.0655,4694.0,34.673685045253166
103851902,16.115622333667293,4.525977817811764,1.05,2.43706,13.2293,5815.0,4.073802778041131
176231776,57.79983742872688,8.467982900222596,1.17,1.37386,14.2205,6164.0,15.13561248436207
176231848,51.59098550662119,6.41748340482709,1.28,1.28476,14.5112,6385.0,15.13561248436207
115375329,21.351046664943627,16.109040302309207,1.0,1.434,15.7149,5630.0,15.13561248436207
1652729612,35.246111417299964,15.358535583134842,1.25,1.41471,14.5881,6325.0,15.13561248436207
432990857,29.75199892597252,25.46645614212142,1.25,2.61956,14.8796,6328.0,21.379620895022324
177523730,23.339984302408705,10.239025331960736,1.14,1.9543,14.6059,6082.0,23.442288153199225
151457908,25.114276472768463,16.185453432546318,1.15,2.20725,14.7899,6100.0,23.442288153199225
151445942,25.282441586433183,20.735798195602243,1.1,1.94718,14.9424,5984.0,23.442288153199225
229345171,15.90136022190103,6.131555796029496,1.17,1.28434,13.6442,6154.0,26.915348039269137
217826737,62.16643056282741,21.05352104933945,1.46,4.07376,14.3201,6795.0,35.481338923357534
1650139765,18.824363629181843,9.293210852641584,0.95,1.12875,15.8761,5462.0,47.863009232263806
264543478,12.48993294995775,7.178475271863754,0.48,0.706617,15.038,3540.0,11.0
50722403,26.28357037660282,11.993501760618283,0.57,1.04243,14.7214,3783.0,7.0
4256354,25.36668811441108,6.373707536981815,0.485199,0.487136,16.4428,3046.0,9.0
264682124,17.541001574540747,11.116433751246074,0.53216,0.535645,15.8108,3217.0,5.258157655357808
264588520,28.086879916393656,4.271356522296124,0.607083,0.623794,15.3756,3227.0,8.959533134465644
50529806,27.927111831586757,16.295242168291068,0.632406,0.65708,14.9779,3366.0,8.298091593290922
264459520,25.872738007834872,4.748280433862979,0.580526,0.590811,15.4969,3459.0,10.497071177241985
264744548,12.943411982244296,5.166929706555199,0.590628,0.603121,15.554,3061.0,9.988264055853191
50749835,33.023337413743185,21.61337972331918,0.67,1.25341,13.5933,4308.0,12.314397324983243
276661087,30.106569592270336,5.443263030700007,0.53,1.09213,14.2486,3662.0,12.820976569506104
332861467,10.54241104915058,1.0928240130854632,0.96,1.83521,14.3885,5464.0,10.155024151901092
332856920,28.466114807350056,5.600268438096521,0.85,1.70119,14.3275,5083.0,9.121205345558456
388917577,20.99497113626336,25.939698537133307,0.8,1.15541,13.9355,4912.0,7.561584710758099
427379391,24.853287183335866,3.247558320284144,0.9,1.95534,11.5644,5257.0,13.802031748137464
201369017,17.234338154377863,10.79606316245466,1.2,1.22092,12.9867,6218.81,9.177378665487147
427353173,19.949602499432192,2.829551396451162,0.600695,0.615677,16.0717,3274.0,11.165164426061654
427352999,17.048843979127685,9.3971894154598,1.24,3.00342,9.6528,6312.0,5.163979265255251
427374475,25.136186537753773,13.311309636163983,0.623965,0.645795,16.3204,3427.0,5.214346630129912
4207640,31.64008782840425,5.382182306133202,0.64132,0.669187,14.69,3269.0,6.112158305200256
332856516,43.46116815254562,5.802553148532819,0.569773,0.578019,15.7472,3104.0,10.28966594463606
50583469,25.427665832529858,13.162191204172691,0.41,1.13753,14.483,3420.0,8.582318188761649
457232117,7.638338156535312,13.473365832720448,1.16,1.08018,12.5388,6141.0,8.485049910248875
264679801,13.531179777000949,3.472187304536619,0.42,0.912616,14.8716,3428.0,12.621717902410444
50745294,12.286862344821158,1.981211922496424,0.59113,0.603741,15.575,3055.0,10.624387481877694
11297648,27.811572225881925,21.689734927494765,0.56,0.833602,14.9783,3722.0,9.842208483872335
427460108,19.724648358489294,5.466757358463168,0.68,1.18401,13.4618,4350.0,13.5606725911943
50898007,7.873575053295671,2.51962931846543,0.57,0.875265,14.9259,3754.0,14.236562502201066
427349892,14.532160321285229,2.9895182614536746,0.568513,0.576541,16.1311,3103.0,13.79897417325588
50792600,30.54274293608209,8.389807941136217,1.04,1.54105,13.0544,5777.96,5.231766309632629
427379747,8.22935581457743,1.168198017252681,1.422,1.32834,9.25411,6700.0,9.662888318351293
