Period_min_days,Period_max_days,Radius_min_earth,Radius_max_earth,Planets_per_100_stars,Error
1,2,4,8,0.23183925811437403,0.12617493453968034
2,4,4,8,0.5899705014749262,0.2823507192087542
4,9,4,8,2.2408963585434174,0.7754576731813733
9,20,4,8,3.2679738562091507,1.4115618240656485
1,2,8,14,0.21097046413502107,0.0911261430725925
2,4,8,14,0.47244094488188976,0.1873960319531254
4,9,8,14,0.8415147265077139,0.3337909685560579
9,20,8,14,0.9153318077803204,0.4380635872392114
1,2,14,27,0.0,0.0
2,4,14,27,0.7313829787234043,0.21712611281979854
4,9,14,27,1.050420168067227,0.3265432703230295
9,20,14,27,1.3011152416356877,0.4798268551341336
1,2,27,50,0.0,0.0
2,4,27,50,0.31545741324921134,0.13625801834829288
4,9,27,50,0.8620689655172413,0.2819404883012744
9,20,27,50,1.0291595197255576,0.4082212016817655
