Period_min_days,Period_max_days,Radius_min_earth,Radius_max_earth,Planets_per_100_stars,Error
1,2,4,8,0.2898550724637681,0.1872193992354789
2,4,4,8,0.9966777408637874,0.5424264627719149
4,9,4,8,1.6528925619834711,1.0676147559709126
9,20,4,8,6.0,3.2654073058869275
1,2,8,14,0.1226993865030675,0.07925238372544811
2,4,8,14,0.776914539400666,0.28651148508564245
4,9,8,14,1.0822510822510822,0.4674652793983641
9,20,8,14,1.809954751131222,0.8662162335906578
1,2,14,27,0.0,0.0
2,4,14,27,0.7369196757553427,0.22908562516398234
4,9,14,27,1.0256410256410255,0.3549210119560901
9,20,14,27,1.2903225806451613,0.5118128184526222
1,2,27,50,0.0,0.0
2,4,27,50,0.4163775156141568,0.16515819610025628
4,9,27,50,1.545253863134658,0.40800190059100067
9,20,27,50,0.3838771593090211,0.2479489164538972
