,tic,ra,dec,teff,plx,rstar,mstar,tmag,age,assoc,ref,rms
0,435935799,83.42617,10.28258,3425.0,2.18285,1.09202,0.416,15.0412,,OSFC,roquette25,
1,436013283,83.7384,9.64272,,,,,11.1418,,OSFC,roquette25,0.00047165574609403516
2,156246424,86.493291,8.47914,,,,,13.9583,,OSFC,roquette25,
3,156143855,86.06201250000001,9.135572222222224,3453.0,2.62487,1.14525,0.432,14.5719,,OSFC,roquette25,
4,435935982,83.486,10.104083333333334,3147.0,,0.637902,0.617978,17.455,,OSFC,roquette25,
5,200515247,82.79836273,9.912878036,3811.0,2.38818,1.47681,,13.6561,,OSFC,roquette25,0.011979094637871515
6,200518010,82.9704464,11.0105825,8826.0,2.34246,1.98339,2.22,9.7889,,OSFC,roquette25,0.0004853173986937853
7,436250913,84.11275,9.859747222222222,3066.0,2.33966,0.525577,0.522757,16.4876,,OSFC,roquette25,
8,436158858,84.03883333333333,9.784116666666666,3580.0,2.32021,1.46785,,14.2442,,OSFC,roquette25,
9,436098557,83.844,9.750588888888888,6151.0,0.219191,1.09306,1.17,16.7204,,OSFC,roquette25,
10,436103240,83.78858333333334,9.766527777777778,5745.0,0.355591,1.17113,1.03,16.3122,,OSFC,roquette25,
11,436100589,83.84533333333334,9.918513888888889,,,,,18.7651,,OSFC,roquette25,
12,436158833,83.97987499999999,9.872319444444445,5104.0,1.55752,1.51158,0.86,13.0791,,OSFC,roquette25,0.001689229811797227
13,715999845,83.583625,9.990916666666667,,,,,19.9747,,OSFC,roquette25,
14,715999971,83.58529166666665,10.089555555555556,,,,,20.1322,,OSFC,roquette25,
15,200547138,83.31048,9.52938,3425.0,2.40071,,,14.802,,OSFC,roquette25,
16,436158826,83.88595833333333,9.880241666666668,5860.0,0.566235,2.02626,1.06,14.3449,,OSFC,roquette25,
17,716012317,83.42812500000001,10.092505555555556,,-0.0524166,,,19.3011,,OSFC,roquette25,
18,436153899,84.01208333333334,9.702166666666669,4145.0,2.2874,1.52695,,13.4069,,OSFC,roquette25,0.0034156149854899787
19,436100428,83.85845833333336,10.136125,3145.0,2.11486,,,17.3322,,OSFC,roquette25,
20,716071973,83.93475,10.098363888888889,,0.572858,,,18.4151,,OSFC,roquette25,
21,436098589,83.81774999999999,9.921611111111112,,,,,13.0427,,OSFC,roquette25,0.008235220039578689
22,436156004,83.935165,9.76447,3236.0,2.28418,0.704796,0.666891,15.6303,,OSFC,roquette25,
23,436100731,83.8265,9.947994444444443,3337.0,2.49934,0.641833,0.620969,15.6225,,OSFC,roquette25,
24,436011533,83.59820833333332,9.728694444444445,,,,,15.8988,,OSFC,roquette25,
25,436153950,83.89512500000001,10.009919444444444,3788.91,2.47782,1.38358,,14.133,,OSFC,roquette25,
26,435935772,83.431,9.756336111,,,,,18.9262,,OSFC,roquette25,
27,436104211,83.78895833333333,9.878872222222222,,,,,18.9879,,OSFC,roquette25,
28,436014559,83.53558333333334,9.845436111,3230.0,,0.441725,0.437656,17.0847,,OSFC,roquette25,
29,436011084,83.54691666666666,9.74075,,,,,18.601,,OSFC,roquette25,
30,436014348,83.58145833333333,10.152452777777777,2955.0,2.293,0.514481,0.512183,17.0761,,OSFC,roquette25,
31,220049908,83.575133,4.814804,3295.0,2.55246,0.62996,0.611876,15.5657,,OSFC,roquette25,
32,436160806,83.90866666666666,9.85145,,,,,18.7914,,OSFC,roquette25,
33,436104633,83.80029166666667,10.017986111111112,,,,,18.0489,,OSFC,roquette25,
34,716071536,84.07583333333332,9.961380555555555,5747.0,-0.0496343,0.695238,1.03,17.909,,OSFC,roquette25,
35,436016631,83.639875,9.732108333333333,,,,,16.8413,,OSFC,roquette25,
36,436101909,83.77624999999999,9.781733333333332,,,,,19.7182,,OSFC,roquette25,
37,715999434,83.50145833333333,9.906236111111111,,-1.34467,,,20.1045,,OSFC,roquette25,
38,436106304,83.75391666666665,9.972663889,6350.0,0.557262,0.779019,1.26,16.2916,,OSFC,roquette25,
39,436250231,84.131375,9.750391666666664,3017.0,1.65681,0.658563,0.633506,16.7032,,OSFC,roquette25,
40,436012120,83.58241666666666,9.905788888888887,,,,,18.554,,OSFC,roquette25,
41,715994646,84.12083333333334,9.722625,,,,,19.4143,,OSFC,roquette25,
42,715998770,83.80912500000001,9.902088888888889,,-0.577227,,,19.4263,,OSFC,roquette25,
43,436158814,83.948125,9.764027778,3510.0,7.90952,0.603014,0.590541,12.8722,,OSFC,roquette25,0.0017900697235437302
44,436015561,83.58120833333332,9.706313889,,,,,16.8227,,OSFC,roquette25,
45,436104668,83.82579166666667,9.873388888888888,3448.0,2.37657,0.908243,0.43,15.4605,,OSFC,roquette25,
46,436101612,83.78116666666668,9.826011111,,,,,17.7463,,OSFC,roquette25,
47,436008555,83.70966666666666,9.7547,4691.0,0.451776,3.19746,,14.7694,,OSFC,roquette25,
48,302672868,82.651629,12.615679,3647.56,2.42032,5.06215,,13.4928,,OSFC,roquette25,0.0071441378338667205
49,436015406,83.55933333333333,9.807491667,3317.0,,0.387378,0.377163,17.7571,,OSFC,roquette25,
50,435931680,83.47354166666666,9.718880555555556,4479.0,0.112552,25.8706,,12.8432,,OSFC,roquette25,
51,345744345,79.298979,7.039781,3482.0,2.54621,0.689145,0.655749,15.4698,,OSFC,roquette25,
52,436160470,84.10445833333334,10.031755555555556,,,,,17.092,,OSFC,roquette25,
53,436333215,84.230945,10.019627,3145.0,2.37966,0.611226,0.597153,15.9151,,OSFC,roquette25,
54,715999951,83.585,10.063224999999996,,,,,20.1873,,OSFC,roquette25,
55,436159929,83.96229166666667,9.851072222,3016.0,2.30028,0.553507,0.548399,16.3942,,OSFC,roquette25,
56,436012194,83.54328,10.21678,3220.0,2.42737,,,15.2285,,OSFC,roquette25,
57,284158620,82.703288,10.089384,3986.0,2.43393,1.03853,0.62,14.3409,,OSFC,roquette25,
58,436015406,83.55933333333333,9.807472222222222,3317.0,,0.387378,0.377163,17.7571,,OSFC,roquette25,
59,436251033,84.12708333333333,10.148755555555557,3144.0,2.59809,0.418568,0.412276,16.9193,,OSFC,roquette25,
60,436101809,83.85288,10.37284,3185.0,2.7074,,,15.1861,,OSFC,roquette25,
61,436104504,83.76666666666665,10.12407222222222,3087.0,2.65711,0.505898,0.503854,16.3899,,OSFC,roquette25,
62,716071667,84.13825,10.009524999999998,,-0.235946,,,19.239,,OSFC,roquette25,
63,144666684,84.82209166666668,9.702086111111113,4060.0,2.53939,1.32735,0.635,13.3547,,OSFC,roquette25,
64,436098567,83.86068,9.80772,4938.15,0.351742,6.38449,,13.4771,,OSFC,roquette25,0.0034509665280546553
65,716071803,84.12879166666667,10.087083333333334,,1.45288,,,19.5691,,OSFC,roquette25,
66,436099562,83.84183333333334,9.881163889,3435.0,,0.484804,0.482838,16.7268,,OSFC,roquette25,
