tic,teff,tmag,mass,radius,sigma,GAIA,ra,dec,mstar,rstar,plx,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,age,e_age,assoc,ref
10018208,6613.0,9.31756,1.384,1.78578,0.0007553133215999,2.788260513384452e+17,71.2879297590062,58.6275523675598,1.384,1.78578,4.70047,10.261,0.043,9.775,0.003,8.77,0.02,8.552,0.015,8.496,0.019,9.6788,0.000465,9.96162,0.000644,9.27189,0.001194,8.444,0.023,8.474,0.02,8.446,0.025,8.172,0.23,188.0,,Theia_433,Kounkel+2019;Kounkel+2020
100495933,6748.0,9.16624,1.442,1.51136,0.0008414051543997,1.8947873616542587e+18,336.475153965155,30.4955541524679,1.442,1.51136,5.38318,9.926,0.041,9.493,0.003,8.753,0.019,8.562,0.029,8.531,0.018,9.45785,0.00017,9.67853,0.000435,9.12428,0.000486,8.478,0.024,8.501,0.02,8.459,0.028,8.502,0.355,151.0,,Theia_372,Kounkel+2019;Kounkel+2020
100597102,5336.0,11.6154,0.921,0.876753,0.0024412558356,1.900646624758755e+18,337.247936664884,30.9822012583583,0.921,0.876753,4.51086,13.181,0.354,12.476,0.025,10.871,0.023,10.487,0.02,10.396,0.017,12.1359,0.000199,12.5664,0.000784,11.5624,0.000425,10.388,0.023,10.437,0.021,10.389,0.073,9.097,,151.0,,Theia_372,Kounkel+2019;Kounkel+2020
100611936,5697.0,9.6958,1.01,0.94479,0.00083872888848,2.888118876655268e+18,87.0271342898526,-35.779522333762,1.01,0.94479,8.91832,10.968,0.076,10.24,0.005,9.148,0.027,8.797,0.034,8.737,0.025,10.1489,0.000775,10.5171,0.002863,9.65151,0.002131,8.648,0.023,8.7,0.021,8.645,0.025,8.467,0.263,107.0,,Theia_301,Kounkel+2019;Kounkel+2020
100678988,7603.0,8.83319,1.77,1.53833,0.0022066017012,2.903002965560896e+18,87.3280451572273,-31.0912054332099,1.77,1.53833,5.21603,9.3,0.035,9.056,0.003,8.493,0.03,8.415,0.042,8.407,0.024,9.00995,0.000342,9.14861,0.001804,8.79865,0.002096,8.29,0.023,8.307,0.02,8.303,0.022,8.172,0.194,19.0,,Vela,Kerr+2023
100724993,5145.0,10.3958,0.87,0.767443,0.00117353264184,2.887775588507303e+18,87.7578725443431,-35.4211800644526,0.87,0.767443,9.62263,12.343,0.187,11.14,0.021,9.637,0.024,9.238,0.022,9.124,0.021,10.9436,0.000642,11.416,0.002167,10.3526,0.00159,9.072,0.023,9.127,0.021,9.058,0.028,8.652,0.335,107.0,,Theia_301,Kounkel+2019;Kounkel+2020
100940603,5178.64,7.9049,0.88,0.817696,0.0004053910593601,5.70884177503968e+18,129.314743162066,-17.4946524963196,0.88,0.817696,27.6133,9.544,0.0,8.72,0.03,7.168,0.03,6.792,0.063,6.686,0.026,8.45028,0.000555,8.92053,0.002047,7.86095,0.001565,6.64,0.073,6.625,0.021,6.644,0.015,6.601,0.067,34.5,,Car-near,
101100599,5458.0,9.8452,0.95,0.903218,0.00095422119984,4.836484576636946e+18,57.6228234353284,-43.6183980945241,0.95,0.903218,9.31873,11.162,0.08,10.463,0.006,9.209,0.026,8.837,0.027,8.702,0.021,10.3301,0.002393,10.7283,0.008437,9.79703,0.005796,8.478,0.022,8.486,0.019,8.486,0.02,8.261,0.154,35.0,,Crius_164,
101219458,6540.0,10.5677,1.35,1.73111,0.0015913442088001,2.181697357480192e+17,55.5676826423073,33.9279929459829,1.35,1.73111,3.10906,11.912,0.124,11.196,0.046,9.931,0.018,9.649,0.017,9.579,0.015,11.0213,0.000605,11.3874,0.000731,10.5158,0.000556,9.546,0.023,9.56,0.021,9.684,0.049,8.464,,9.0,,Ori-Per,Kerr+2023
101444131,7479.0,6.5203,1.72,1.92819,0.00223217984376,3.383085648175728e+18,99.5787605961513,24.4504207447049,1.72,1.92819,12.1466,6.999,0.027,6.7728,0.023,6.214,0.026,6.183,0.018,6.132,0.024,6.69967,0.000469,6.85147,0.002299,6.50039,0.005727,6.068,0.11,6.008,0.035,6.164,0.021,5.964,0.064,55.0,,Theia_133,Kounkel+2019;Kounkel+2020
101445682,5627.0,8.9836,1.0,0.968734,0.0006434540272799,3.3828971119950367e+18,99.6150204056604,24.3488657029152,1.0,0.968734,12.1764,10.42,0.09,9.568,0.007,8.305,0.026,8.006,0.02,7.884,0.02,9.43775,0.001005,9.80928,0.004521,8.94106,0.004618,7.826,0.026,7.842,0.02,7.832,0.024,7.71,0.229,55.0,,Theia_133,Kounkel+2019;Kounkel+2020
101447539,7687.0,10.6764,1.8,1.70799,0.0014923132948799,3.383312628606939e+18,99.7208443637182,25.549206841122,1.8,1.70799,1.99691,11.129,0.15,10.933,0.012,10.357,0.021,10.316,0.024,10.228,0.02,10.8532,0.000603,10.9889,0.001458,10.636,0.001952,10.204,0.022,10.231,0.02,10.171,0.098,8.306,,114.0,,Theia_324,Kounkel+2019;Kounkel+2020
101544662,4181.0,9.2711,0.65,0.670318,0.00250707246624,6.666178680963755e+18,301.849045275826,-51.7909081678144,0.65,0.670318,29.3646,11.575,0.114,10.561,0.01,8.158,0.024,7.565,0.044,7.388,0.033,10.0448,0.002442,10.8143,0.008945,9.21782,0.006246,7.231,0.034,7.256,0.02,7.19,0.016,7.187,0.12,48.5,,Tuc-Hor,
101547272,6204.91,9.80052,1.192,1.10037,0.0010938312503999,7.063247922145796e+17,129.800940654793,30.2607965550445,1.192,1.10037,6.29624,10.877,0.104,10.468,0.007,9.272,0.019,9.007,0.016,8.912,0.014,10.1765,0.000599,10.4659,0.000824,9.75262,0.000793,8.923,0.023,8.934,0.019,8.895,0.029,8.875,0.466,126.0,,Crius_217,
102219915,6960.0,7.5447,1.52,1.57779,0.0005195818367998,6.141995823908711e+18,195.902767304075,-38.9684436797581,1.52,1.57779,10.2508,8.19,0.026,7.88,0.03,7.188,0.032,7.033,0.034,6.977,0.024,7.7971,0.000906,7.98627,0.003025,7.50532,0.003875,6.931,0.052,6.953,0.02,6.96,0.016,6.954,0.07,180.0,,Crius_191,
1028816,6744.45,8.43709,1.44,1.35455,0.0005197598668799,2.486925844095191e+18,33.8389150325912,-7.12628464915817,1.44,1.35455,8.36088,9.164,0.029,8.84,0.03,8.044,0.02,7.904,0.038,7.873,0.023,8.72861,0.000274,8.95123,0.001862,8.39784,0.001939,7.789,0.027,7.825,0.02,7.801,0.018,7.704,0.155,208.0,4.0,HSC_1448            ,Hunt+2024
102951819,6266.0,10.2742,1.22,1.06807,0.00133596370656,5.437168880097239e+17,58.5176305203929,73.1588791703476,1.22,1.06807,5.21171,11.204,0.092,10.686,0.006,9.758,0.02,9.52,0.018,9.479,0.015,10.6504,0.000362,10.9421,0.000933,10.2279,0.000911,9.431,0.023,9.454,0.02,9.426,0.034,8.614,,440.0,,Theia_787,Kounkel+2019;Kounkel+2020
103061286,8085.0,9.0379,1.96,1.51081,0.0021085613294401,5.365383445227826e+18,156.160231738521,-47.316006793806,1.96,1.51081,4.53996,9.412,0.033,9.204,0.003,8.81,0.035,8.766,0.047,8.738,0.023,9.16475,0.000275,9.27194,0.001016,9.00454,0.000982,8.699,0.023,8.727,0.02,8.643,0.025,7.925,0.162,80.0,,Theia_233,Kounkel+2019;Kounkel+2020
103347855,6897.0,9.20974,1.5,1.45197,0.0007505561980801,5.015704082928878e+17,65.7105385006882,73.6162584171579,1.5,1.45197,5.34389,9.922,0.04,9.509,0.003,8.832,0.034,8.667,0.023,8.617,0.019,9.48377,0.000241,9.69136,0.001264,9.16869,0.001648,8.6,0.023,8.624,0.019,8.597,0.024,8.53,0.364,440.0,,Theia_787,Kounkel+2019;Kounkel+2020
103506688,5223.0,11.4896,0.89,0.758037,0.00247405988736,5.501233986665366e+17,67.4715970554008,75.0186459907716,0.89,0.758037,5.79925,13.231,0.322,12.204,0.028,10.728,0.021,10.306,0.018,10.253,0.015,12.0346,0.000546,12.4945,0.001546,11.4391,0.001161,10.184,0.023,10.232,0.021,10.13,0.047,8.939,,440.0,,Theia_787,Kounkel+2019;Kounkel+2020
103556060,7348.51,10.2869,1.67,1.80193,0.00259607439648,5.367650432038702e+18,157.456833562953,-44.0652435590757,1.67,1.80193,2.53751,10.68,0.063,10.53,0.005,10.035,0.023,9.958,0.023,9.934,0.022,10.4361,0.000381,10.5546,0.000789,10.2464,0.000994,9.765,0.02,9.846,0.018,9.855,0.04,9.028,0.397,80.0,,Theia_233,Kounkel+2019;Kounkel+2020
