TheiaID,Field,FieldRA,FieldDEC,Nflares (3σ) - 30d V1,Nflares (3σ) - 30d V2,Nplanets - UV+O GZ UPDATE,Nplanets - UV+O+IR Apr2026,Nplanets - UV+O,Nplanets 30day stare - UV+O+IR ,Nplanets - UV+O+IR GZ UPDATE,Nplanets - UV+O+IR,"Naccretors - UV+O, 20d (Feb2026)","Naccretors - UV+O+IR, 20d (Feb2026)",Nstars,"Naccretors - UV+O, 30d (Feb2026)","Naccretors - UV+O+IR, 30d (Feb2026)",Age,Dist (pc),Priority rank,,,,,,,,,
13,Orion,84.122125,-4.73334,78,182,7,9,18,28,11,12.9,192,215,,207,237,1-10,400,1,,Flare selection V1,Flare Selection V2,Planets - UV+O,Planets- UV+O+IR (20),Planets- UV+O+IR (30),Accretion - UV+O,Accretion - UV+O+NIR,Duration
13,Orion,83.032534,0.284728,57,242,13,13,18,18,14,13.8,166,162,,171,181,1-10,400,1,,148,504,59,32,71,394,434,6mo
45,Upper Sco,242.737126,-22.081019,218,,3,0,5,5,6,7.5,4,6,,4,6,10,145,1,,248,930,78,55,98,461,512,12mo
45,Upper Sco/rho Oph,247.978123,-25.056692,183,,4,0,3,4,5,5.2,4,6,,5,5,1-10,145,1,,332,1250,100,78,129,469,521,18mo
148,?,285,20.5,6,1,,3,0,1,5,1.3,0,0,,0,0,44,500?,1,,,,,,,,,
40,?,290,3.5,2,7,,1,1,4,4,1.1,1,1,,1,1,72,1761?,1,,382,1465,134,112,205,507,561,30mo
1710,?,108,-25.5,6,,,2,5,6,1,2.1,1,1,,0,2,15,1307,1,,,,,,,,,
116,?,92.401,14.11,24,71,0,3,6,6,,1.6,3,7,,5,6,48,215,1,,,,Yellow highlighted values are estimates that need verification,,,,,
223,?,279.581,-14.18,20,54,0,1,4,13,,1.5,0,0,,1,0,94,1700?,1,,-need: ~340 flares,,,-need: ~50 planets,,,-need: ~250 accretors,
55,NGC 2232,97.96,-4.83,19,48,3,1,2,4,,1.5,6,9,,8,7,24,322,1,,-but really want 2x that for flares to account for science uncertainties,,,,,,"or, 100 accretors for 90% level",
55,NGC 2232,77,19.5,0,,,0,2,1,,,0,0,,0,0,22,387,1,,-or 220 flares for 90% level,,,-also ideally the 50 planets should be <30 Myr,,,,
13,lambda Ori,84.822096,9.702014,14,147,,6,5,1,,3.4,50,56,,52,64,5,400,1,,,,,,,,,
653,NGC 6494,271,-20.5,11,16,,1,3,7,,,11,7,,11,12,155,741,2,,,,,,,,,
1774,?,108,-9.5,,23,,0,7,11,,,4,6,,6,6,23,2592,1,,,,,,,,,
5,?,290,20.5,13,22,,0,4,5,,,2,1,,5,4,8,502,1,,,,,,,,,
294,NGC 2323,104,-1.5,3,45,,0,3,5,,,3,2,,2,3,115,871,2,,,,,,,,,
LP 2383,LP 2383,93,-14.5,11,24,,2,1,2,,,0,0,,0,0,50,357,1,,,,,,,,,
73,Stephenson_1,273,2.5,0,6,,2,4,5,,,0,0,,0,0,22,574,1,,,,,,,,,
2098,?,102,-7.5,,57,,0,1,6,,,5,4,,8,11,62,2222,1,,,,,,,,,
40,?,292,10.5,0,7,,1,2,7,,,1,0,,1,0,72,855,1,,,,,,,,,
