,TheiaID,Field,FieldRA,FieldDEC,30day flare yield (S/N=6.4),30day accretion yield,30day planet yield,30day planet <50 Myr,,age 1-sigma low,age 1-sigma high,
Year One,13,Orion,84.122125,-4.73334,82,254,28,27,5,5,12,
,13,Orion,83.032534,0.284728,35,161,17,17,6,6,14,
,1774,?,108,-9.5,19,3,12,7,80,80,180,
,55,NGC 2232,97.96,-4.83,50,4,4,2,61,61,271,
,3278,?,104,-13.5,14,1,6,4,6,6,104,
,13,lambda Ori,84.822096,9.702014,17,42,1,1,9,9,12,
,223,?,279.581,-14.18,36,0,12,3,24,24,296,
,5,?,290,20.5,15,0,5,3,7,7,7,
,56,?,277,-22.5,33,0,2,0,69,69,83,
,2280,?,288,14.5,13,0,2,0,60,60,213,
,1717,?,295,22.5,20,1,2,1,108,108,157,
,653,NGC 6494,271,-20.5,9,0,5,5,,,,
Year Two,13,Orion,82,4.5,,,?,,,,,
,116,?,92.401,14.11,105,8,6,1,54,54,214,
,476,NGC 2287,103,-22.5,4,0,10,4,65,65,102,X
,116,NGC 2264 ,100.08959,9.100855,1,21,8,6,13,13,2722,
,3622,?,89,15.5,45,2,4,1,,?,?,
,1087,NGC_2215,94,-8.5,39,4,2,2,0,0,0,
,2555,?,278,-12.5,29,0,11,3,14,14,243,
,NGC_6705,NGC_6705,282,-8.5,42,0,14,2,68,68,312,
,4850,?,280,-3.5,11,0,2,2,,,,
,3484,,289,3.5,9,0,0,0,,,,
,Theia195,ASCC_88,257,-35.5,,,,,,,,
,Theia2152,?,264,-40.5,,,,,,,,
Year Three,13,Orion,85,11.5,?,?,?,?,,?,?,
,294,NGC 2323,104,-1.5,57,0,0,0,,?,?,
,LP 2383,LP 2383,93,-14.5,44,0,2,1,54,54,147,
,2098,?,102,-7.5,53,10,5,1,35,35,170,
,3295,?,93,11.5,82,0,6,0,48,48,283,
,138-1,?,76.15,8.556,153,0,0,0,7,7,7,
,73,Step1,273,2.5,,,,,,,,
,154,,288,-1.5,,,,,,,,
,38,,290,20.5,,,,,,,,
,5903,,276,-17.5,,,,,,,,
,? TBD,,,,,,,,,,,
,?,,,,,,,,,,,
,?,,,,,,,,,,,
,?,,,,,,,,,,,
,?,,,,,,,,,,,
,?,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Median of non-zero cells,34,6,,2.5,,,,
