tic,age,prad,pmass,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2,snr_v3,T_retrieve_v3
1798010423,173.78008287493762,1.6452653180403831,6.202380250756429,86.42626337563193,4.3202507763957847e+18,288.860568344874,14.3213415745186,1.73636,16.6743,,,18.523,0.068,,,,,,,17.6987,0.001316,18.6605,0.065353,16.522,0.015673,,,,,,,,,Theia952,173.78008287493762,Kounkel2020,3994.0,0.54403,0.624,[9],1,,,,,,,,,0,,0,,0,,0
50742696,10.0,2.918480248789208,19.421513483887004,20.695436563607768,3.2207481851704504e+18,82.84893539,-0.426632214,2.15219,15.8568,20.356,0.162,17.8684,0.0491,14.362,0.028,13.721,0.03,13.45,0.039,16.9866,0.002211,18.1038,0.021763,15.8898,0.005711,13.352,0.025,13.287,0.031,12.599,,8.938,,OSFC,10.0,roquette25,3605.0,0.586797,0.57718,[1],1,,,,,,,,,0,,0,,0,,0
436339014,13.511366715168569,2.4182760206925686,8.393797990665005,73.58051275308846,3.33954501777688e+18,84.326901248124,10.4724972353569,2.59642,17.1097,,,,,15.018,0.046,14.6,0.06,14.159,0.061,18.709,0.003504,20.7346,0.117487,17.2417,0.008434,14.302,0.068,13.951,0.077,12.049,,8.356,,Orion,5.0,Various-Kounkel+2018;2020;Kos+2018;Chen+2020;Sanchez-Sanjuan+2024;Zerjat+2024;Kos+2021,2968.0,0.413367,0.406487,"[5, 24]",2,,,,,,,,,0,,0,,0,,0
282516011,48.97788193684466,2.3344117090094456,7.269004788997471,10.90462887232111,3.1123830979830845e+18,103.344893000655,-0.914331248313006,1.00003,13.8962,15.066,0.0,14.489,0.115,13.287,0.032,13.035,0.033,12.984,0.034,14.3273,0.000521,14.6597,0.00217,13.8367,0.001974,12.854,0.025,12.867,0.03,12.156,,9.005,,Theia1988,48.97788193684466,Kounkel2020,6106.48,1.16504,1.15,[25],1,,,,,,,,,0,,0,,0,,0
91523608,338.8441561392021,2.4970888633478574,9.888975719170585,19.027121808681027,3.3470832394367826e+18,88.3357912964277,14.6265645143159,0.512226,14.9392,16.607,0.088,15.694,0.08,14.153,0.023,13.737,0.033,13.638,0.036,15.4809,0.000983,15.9128,0.003879,14.8709,0.004055,13.609,0.027,13.678,0.038,12.004,,8.92,,Theia4192,338.8441561392021,Kounkel2020,5635.0,1.60244,1.0,[16],1,,,,,,,,,0,,0,,0,,0
110397007,22.387211385683376,2.448199074753468,7.767860761081004,22.271621402289465,4.14576309141165e+18,273.586158244904,-15.6910301177706,0.621098,13.3933,15.563,0.048,14.166,0.092,12.581,0.032,12.24,0.023,12.104,0.024,13.9269,0.00034,14.3533,0.002556,13.3262,0.00127,,,,,,,,,Theia1762,22.387211385683376,Kounkel2020,6306.0,2.57037,1.24,[33],1,,,,,,,,,0,,0,,0,,0
389275136,407.3802778041122,2.590998247164948,11.244901314589026,30.79082780155894,5.959247400714227e+18,262.251036212011,-41.0467084676403,0.524032,15.3784,,,16.211,0.423,14.188,0.056,13.765,0.064,13.587,0.054,16.1619,0.00085,16.8293,0.010171,15.3084,0.004876,,,,,,,,,Theia4528,407.3802778041122,Kounkel2020,5995.0,1.77756,1.1,[23],1,,,,,,,,,0,,0,,0,,0
237532673,114.8153621496884,1.7536688980255588,8.157681807833026,18.624036640823785,3.113572189747696e+18,102.978802163837,0.393634907062082,1.27871,16.0572,19.544,0.168,17.5322,0.0467,14.726,0.034,14.051,0.04,13.878,0.047,16.9299,0.001937,17.8026,0.011893,15.985,0.006827,13.798,0.028,13.796,0.037,12.144,,8.827,,Theia294,114.8153621496884,Kounkel2020,4050.0,0.793541,0.63,[25],1,,,,,,,,,0,,0,,0,,0
426169397,724.4359600749891,2.557201402712109,11.782233748476608,15.469631954144187,4.100460669749256e+18,280.91741254879,-15.2652626376135,1.27728,14.4944,15.984,0.116,15.334,0.103,13.462,0.038,13.045,0.047,12.916,0.044,15.1541,0.000817,15.7176,0.005468,14.4327,0.002162,12.402,0.026,12.585,0.026,11.85,0.276,8.703,,UPK_18,724.4359600749891,Cantat-Gaudin2020,5157.0,1.00985,0.872,[6],1,,,,,,,,,0,,0,,0,,0
244432593,29.51209226666384,1.841015129788308,10.101700293765807,7.975926859144742,4.094891883860654e+18,274.310376475187,-18.3816516183381,0.364597,15.0354,15.7,0.048,15.829,0.15,14.213,0.042,13.873,0.056,13.833,,15.5623,0.000653,15.9592,0.004242,14.9438,0.002814,,,,,,,,,Theia1820,29.51209226666384,Kounkel2020,6423.0,1.97066,1.29,[33],1,,,,,,,,,0,,0,,0,,0
